DAY,DATE,AWAY,HOME,
Tue,2023-10-10,NSH,TBL,
Tue,2023-10-10,CHI,PIT,
Tue,2023-10-10,SEA,VGK,
Wed,2023-10-11,OTT,CAR,
Wed,2023-10-11,MTL,TOR,
Wed,2023-10-11,CHI,BOS,
Wed,2023-10-11,WPG,CGY,
Wed,2023-10-11,COL,LAK,
Wed,2023-10-11,EDM,VAN,
Thu,2023-10-12,NYR,BUF,
Thu,2023-10-12,PHI,CBJ,
Thu,2023-10-12,DET,NJD,
Thu,2023-10-12,STL,DAL,
Thu,2023-10-12,FLA,MIN,
Thu,2023-10-12,SEA,NSH,
Thu,2023-10-12,VGK,SJS,
Fri,2023-10-13,ARI,NJD,
Fri,2023-10-13,PIT,WSH,
Sat,2023-10-14,PHI,OTT,
Sat,2023-10-14,FLA,WPG,
Sat,2023-10-14,NSH,BOS,
Sat,2023-10-14,NYR,CBJ,
Sat,2023-10-14,TBL,DET,
Sat,2023-10-14,CHI,MTL,
Sat,2023-10-14,CGY,PIT,
Sat,2023-10-14,MIN,TOR,
Sat,2023-10-14,BUF,NYI,
Sat,2023-10-14,SEA,STL,
Sat,2023-10-14,VAN,EDM,
Sat,2023-10-14,COL,SJS,
Sat,2023-10-14,ANA,VGK,
Sat,2023-10-14,CAR,LAK,
Sun,2023-10-15,TBL,OTT,
Sun,2023-10-15,CAR,ANA,
Mon,2023-10-16,DET,CBJ,
Mon,2023-10-16,FLA,NJD,
Mon,2023-10-16,ARI,NYR,
Mon,2023-10-16,CHI,TOR,
Mon,2023-10-16,CGY,WSH,
Tue,2023-10-17,TBL,BUF,
Tue,2023-10-17,MIN,MTL,
Tue,2023-10-17,VAN,PHI,
Tue,2023-10-17,ARI,NYI,
Tue,2023-10-17,EDM,NSH,
Tue,2023-10-17,LAK,WPG,
Tue,2023-10-17,COL,SEA,
Tue,2023-10-17,CAR,SJS,
Tue,2023-10-17,DAL,VGK,
Wed,2023-10-18,WSH,OTT,
Wed,2023-10-18,PIT,DET,
Thu,2023-10-19,CGY,BUF,
Thu,2023-10-19,TOR,FLA,
Thu,2023-10-19,NSH,NYR,
Thu,2023-10-19,EDM,PHI,
Thu,2023-10-19,VAN,TBL,
Thu,2023-10-19,LAK,MIN,
Thu,2023-10-19,ARI,STL,
Thu,2023-10-19,VGK,WPG,
Thu,2023-10-19,DAL,ANA,
Thu,2023-10-19,CAR,SEA,
Thu,2023-10-19,CHI,COL,
Thu,2023-10-19,BOS,SJS,
Fri,2023-10-20,CGY,CBJ,
Fri,2023-10-20,NJD,NYI,
Sat,2023-10-21,DET,OTT,
Sat,2023-10-21,ANA,ARI,
Sat,2023-10-21,NYI,BUF,
Sat,2023-10-21,VAN,FLA,
Sat,2023-10-21,WSH,MTL,
Sat,2023-10-21,TOR,TBL,
Sat,2023-10-21,VGK,CHI,
Sat,2023-10-21,PHI,DAL,
Sat,2023-10-21,CBJ,MIN,
Sat,2023-10-21,SJS,NSH,
Sat,2023-10-21,PIT,STL,
Sat,2023-10-21,CAR,COL,
Sat,2023-10-21,WPG,EDM,
Sat,2023-10-21,NYR,SEA,
Sat,2023-10-21,BOS,LAK,
Sun,2023-10-22,CGY,DET,
Sun,2023-10-22,BOS,ANA,
Mon,2023-10-23,MTL,BUF,
Tue,2023-10-24,TOR,WSH,
Tue,2023-10-24,ANA,CBJ,
Tue,2023-10-24,BUF,OTT,
Tue,2023-10-24,CAR,TBL,
Tue,2023-10-24,NJD,MTL,
Tue,2023-10-24,DAL,PIT,
Tue,2023-10-24,SJS,FLA,
Tue,2023-10-24,COL,NYI,
Tue,2023-10-24,SEA,DET,
Tue,2023-10-24,BOS,CHI,
Tue,2023-10-24,STL,WPG,
Tue,2023-10-24,EDM,MIN,
Tue,2023-10-24,VAN,NSH,
Tue,2023-10-24,NYR,CGY,
Tue,2023-10-24,ARI,LAK,
Tue,2023-10-24,PHI,VGK,
Wed,2023-10-25,WSH,NJD,
Thu,2023-10-26,ANA,BOS,
Thu,2023-10-26,SEA,CAR,
Thu,2023-10-26,WPG,DET,
Thu,2023-10-26,CBJ,MTL,
Thu,2023-10-26,MIN,PHI,
Thu,2023-10-26,COL,PIT,
Thu,2023-10-26,SJS,TBL,
Thu,2023-10-26,OTT,NYI,
Thu,2023-10-26,TOR,DAL,
Thu,2023-10-26,STL,CGY,
Thu,2023-10-26,NYR,EDM,
Fri,2023-10-27,CHI,VGK,
Fri,2023-10-27,SJS,CAR,
Fri,2023-10-27,BUF,NJD,
Fri,2023-10-27,MIN,WSH,
Fri,2023-10-27,LAK,ARI,
Fri,2023-10-27,STL,VAN,
Sat,2023-10-28,ANA,PHI,
